Number,ProblemType,Problem,Solution
2_2,Infinite Series,"Given two series $\sum_{n=0}^\infty a_n$ and $\sum_{n=0}^\infty b_n$,
\[
\sum_{n=0}^\infty (a_0b_n + a_1b_{n-1} + \cdots + a_nb_0)
\]
is called the Cauchy product of $\sum a_n$ and $\sum b_n$.
Suppose that $\sum a_n$ converges absolutely to $\alpha$ and that $\sum b_n$ converges to $\beta$. Show that the Cauchy product converges to $\alpha \beta$.","Let 
\[
M = \sum_{n=0}^\infty |a_n| \quad \text{and} \quad s_n = b_0 + b_1 + \cdots + b_n
\]
with $|s_n| \leq K$ for some constant $K > 0$. By (a), it suffices to show the convergence of the Cauchy product. To see this, put
\[
c_n = \sum_{k=0}^n \left(a_0 b_k + a_1 b_{k-1} + \cdots + a_k b_0\right)
= a_0 s_n + a_1 s_{n-1} + \cdots + a_n s_0.
\]

For any $\epsilon > 0$, there exists an integer $N$ satisfying $|s_p - s_q| < \epsilon$ and 
\[
|a_q| + \cdots + |a_p| < \epsilon
\]
for any integers $p$ and $q$ with $p > q \geq N$. Then for all $p > q > 2N$, we get
\[
|c_p - c_q| = \left| \sum_{k=0}^N a_k (s_{p-k} - s_{q-k}) + \sum_{k=N+1}^q a_k (s_{p-k} - s_{q-k}) + \sum_{k=q+1}^p a_k s_{p-k} \right|.
\]

Clearly, the first sum on the right-hand side is estimated above by
\[
M \max_{0 \leq k \leq N} |s_{p-k} - s_{q-k}| < M \epsilon.
\]

The second and third sums are similarly estimated above by
\[
2K \sum_{k=N+1}^p |a_k| < 2K \epsilon.
\]

This implies that the sequence $\{c_n\}$ satisfies the Cauchy criterion."
2_2,Infinite Series,"Given two series $\sum_{n=0}^\infty a_n$ and $\sum_{n=0}^\infty b_n$,
\[
\sum_{n=0}^\infty (a_0b_n + a_1b_{n-1} + \cdots + a_nb_0)
\]
is called the Cauchy product of $\sum a_n$ and $\sum b_n$.
Suppose that $\sum a_n$ and $\sum b_n$ converge to $\alpha$ and $\beta$ respectively and that the Cauchy product converges to $\delta$. Show then that $\alpha \beta$ is equal to $\delta$.","Since $a_n \to 0$ and $b_n \to 0$ as $n \to \infty$, both power series 
\[
f(x) = \sum_{n=0}^\infty a_n x^n \quad \text{and} \quad g(x) = \sum_{n=0}^\infty b_n x^n
\]
converge absolutely for $|x| < 1$. Hence the product
\[
f(x)g(x) = \sum_{n=0}^\infty (a_0b_n + a_1b_{n-1} + \cdots + a_nb_0) x^n
\]
also converges for $|x| < 1$. It follows from Abel's continuity theorem that $f(x)$, $g(x)$, and $f(x)g(x)$ converge to $\alpha$, $\beta$, and $\alpha \beta$ as $x \to 1^-$. Thus $\delta = \alpha \beta$.
"
3_1,Continuous Functions,"Suppose that $f \in C(\mathbb{R})$ and that $f(x+1) - f(x)$ converges to $0$ as $x \to \infty$. Then show that
\[
\frac{f(x)}{x}
\]
also converges to $0$ as $x \to \infty$. Suppose further that $f(x+y) - f(x)$ converges to $0$ as $x \to \infty$ for an arbitrary fixed $y$. Show then that this convergence is uniform on compact sets in $\mathbb{R}$.","For any $\epsilon > 0$ there exists an integer $N$ satisfying
\[
-\epsilon < f(x+1) - f(x) < \epsilon
\]
for any $x > N$. Summing the following $\ell = \lfloor x \rfloor - N$ inequalities
\[
-\epsilon < f(x-j+1) - f(x-j) < \epsilon
\]
for $j = 1, \ldots, \ell$ and for $x \geq N+1$ we get
\[
-\epsilon(\lfloor x \rfloor - N) < f(x) - f(x-\ell) < \epsilon(\lfloor x \rfloor - N).
\]
Since $N \leq x - \ell < N+1$, it follows from this that
\[
-M - \epsilon(x - N + 1) < f(x) < M + \epsilon(x - N),
\]
where $M$ is the maximum of $|f(x)|$ on $[N, N+1]$. Therefore
\[
\frac{|f(x)|}{x} < \frac{M + \epsilon(x - N + 1)}{x} < \epsilon + \frac{M}{x},
\]
which implies that $|f(x)/x| < 2\epsilon$ for any $x > \max\{N+1, M/\epsilon\}$.

To show the latter half of the problem put
\[
g_x(y) = \sup_{t \geq x} |f(t+y) - f(t)|,
\]
which converges to $0$ as $x \to \infty$ for an arbitrary fixed $y$. If $g_x(y_0) > s$, then there exists $t_0 \geq x$ satisfying $|f(t_0+y_0) - f(t_0)| > s$. By the continuity of $f$, we have $|f(t+y) - f(t)| > s$ for any $(t, y)$ sufficiently close to $(t_0, y_0)$. This means that $g_x(y) > s$ for any $y$ sufficiently close to $y_0$; in other words, the set
\[
\{y \in \mathbb{R} : g_x(y) > s\}
\]
is an open set. Hence $\{g_n(y)\}$ is a sequence of Borel measurable functions converging pointwise to $0$. By Egoroff's theorem we can find a measurable set $F \subset [-1, 1]$ whose measure is greater than $3/2$ such that $g_n(y)$ converges to $0$ uniformly on $F$; therefore for any $\epsilon > 0$ there exists an integer $N$ satisfying $g_n(y) < \epsilon$ for any $n > N$ and any $y \in F$. By the theorem due to Steinhaus (1920) there exists an interval $I$ such that any point $y$ in $I$ can be expressed as $y = u - v$ with $u, v \in F \cap (-F)$, since the measure of $F \cap (-F)$ is positive. Clearly $-y$ has such an expression, and we can assume that $I$ is contained in the positive real axis. For any non-negative $x$ we have
\[
g_n(x+x') = \sup_{t \geq n} |f(t+x+x') - f(t)| \leq \sup_{t \geq n} |f(t+x) - f(t)| + \sup_{t \geq n} |f(t+x') - f(t+x)| = g_n(x) + g_n(x').
\]
Applying the above inequality to $y = u - v \in I$ we get
\[
g_n(y) = g_n(u-v) \leq g_n(u) + g_n(-v) < 2\epsilon,
\]
since the case does not occur in which both $u$ and $-v$ are negative. This implies that $\{g_n(y)\}$ converges to $0$ uniformly on the interval $I$. This is also true on any set consisting of finite parallel translations of $I$ since $g_n(x+x') \leq g_n(x) + g_n(x')$ for any $x \in I$ and $x'$."
3_2,Continuous Functions,"Let $p_n(x)$ be any polynomial with integer coefficients whose degree is greater than or equal to $1$, and let $I$ be any closed interval of length $\geq 4$. Then show that there exists at least one point $x$ in $I$ satisfying
\[
|p_n(x)| \geq 2.
\]","Let $I$ be any closed interval of length 4. We solve this problem for any polynomial 
\[
p_n(x) = a_n x^n + a_{n-1}x^{n-1} + \cdots + a_0
\]
with a non-zero integer $a_n$ and real $a_{n-1}, \ldots, a_0$. Since $a_n$ is invariant under parallel translation, we can assume that $I = [-2, 2]$. Let $M$ be the difference of the maximum and the minimum of $p_n$ on the interval $I$. It may be convenient to introduce the notation
\[
\sum_{k=0}^n{}^* b_k = b_0 + 2b_1 + 2b_2 + \cdots + 2b_{n-1} + b_n.
\]

Now for any integer $0 \leq s < n$, put $\omega = -e^{\pi i / n} \neq 1$; hence
\[
\sum_{k=0}^n{}^* \omega^k = \frac{(1+\omega)(1-\omega^n)}{1-\omega} = (1 - (-1)^{s+n}) \frac{1+\omega}{1-\omega}.
\]

Since $\overline{\omega} = \omega^{-1}$, it can be seen that the real part of the above expression vanishes; in other words,
\[
\sum_{k=0}^n{}^* (-1)^k \cos\frac{ks}{n}\pi = 0.
\]

On the other hand, it is clear that $2\cos s\theta = e^{i s \theta} + e^{-i s \theta}$ is a polynomial in $2\cos\theta = e^{i\theta} + e^{-i\theta}$ with integer coefficients of degree $s$. Hence we can write
\[
2\cos s\theta = \tau_s(2\cos\theta).
\]

Since $s$ is arbitrary, we get
\[
\sum_{k=0}^n{}^* (-1)^k \alpha_k^s = 0
\]
for any $0 \leq s < n$, where 
\[
\alpha_k = 2\cos\frac{k\pi}{n}.
\]

Also for $s = n$,
\[
\sum_{k=0}^n{}^* (-1)^k \alpha_k^n = \sum_{k=0}^n{}^* (-1)^k \tau_n(\alpha_k) = 2\sum_{k=0}^n{}^* (-1)^k \cos k\pi = 4n,
\]
since the coefficient of the leading term of $\tau_n(x)$ is equal to 1. Hence we have
\[
4n|a_n| = \left| \sum_{k=0}^n{}^* (-1)^k p_n(\alpha_k) \right| \leq \sum_{k=0}^{n-1} |p_n(\alpha_k) - p_n(\alpha_{k+1})| \leq nM,
\]
which implies that $M \geq 4|a_n| \geq 4$. We thus have $\max_{x \in I} |p_n(x)| \geq 2$. 
"
3_6,Continuous Functions,"First put $E_1 = \{0, 1\}$ and suppose that a finite sequence $E_n \subset [0, 1]$ is given. 
Define $E_{n+1}$ by inserting new fractions $(a+c)/(b+d)$ between every two 
consecutive fractions $a/b$ and $c/d$ in $E_n$. Of course we understand $0 = 0/1$ 
and $1 = 1/1$; thus,
\[
E_2 = \left\{0, \frac{1}{2}, 1\right\}, \quad E_3 = \left\{0, \frac{1}{3}, \frac{1}{2}, \frac{2}{3}, 1\right\}, \dots
\]

With the help of the sequence $E_n$, we define the piecewise linear continuous function 
$\varphi_n(x)$ on the interval $[0, 1]$ such that
\[
\varphi_n\left(\frac{a}{b}\right) = \varphi_n\left(\frac{c}{d}\right) = 0, \quad \varphi_n\left(\frac{a+c}{b+d}\right) = \frac{1}{b+d},
\]
and $\varphi_n(x)$ is linear on the intervals
\[
\left[\frac{a}{b}, \frac{a+c}{b+d}\right] \quad \text{and} \quad \left[\frac{a+c}{b+d}, \frac{c}{d}\right],
\]
respectively, for every two successive terms $a/b$ and $c/d$ in $E_n$.

Show then that the series
\[
f(x) = \sum_{n=1}^\infty \varphi_n(x)
\]
converges at every point $x \in [0, 1]$; more precisely, it converges to $1 - 1/q$ at any rational 
point $x = p/q \in [0, 1]$ with $(p, q) = 1$ and to $1$ at any irrational point $x$ in $(0, 1)$.","Let $p/q$ be any fraction in the interval $[0, 1]$. The fraction $p/q$ is contained in $E_q$; otherwise, there exist two adjacent fractions $a/b$ and $c/d$ in $E_q$ satisfying
\[
\frac{a}{b} < \frac{p}{q} < \frac{c}{d},
\]
which implies
\[
\frac{1}{bd} = \frac{c}{d} - \frac{a}{b} = \frac{c}{d} - \frac{p}{q} + \frac{p}{q} - \frac{a}{b} \geq \frac{1}{dq} + \frac{1}{bq} \geq \frac{b+d}{bdq} > \frac{1}{bd},
\]
a contradiction. We used here the facts that $bc - ad = 1$ and $b + d \geq n + 1$ for any two consecutive fractions $a/b$ and $c/d$ in $E_n$, which can be easily verified by induction on $n$.

We next show that 
\[
f\left(\frac{a}{b}\right) = 1 - \frac{1}{b} \tag{3.1}
\]
for any fraction $a/b$ belonging to $E_n$ by induction on $n$. Clearly, it holds for $a/b = 0/1$ and $1/1$ since $\phi_m(0) = \phi_m(1) = 0$ for all positive integer $m$. Suppose (3.1) holds for any $a/b \in E_n$. By definition, we have
\[
f\left(\frac{a}{b}\right) = \phi_1\left(\frac{a}{b}\right) + \cdots + \phi_{b-1}\left(\frac{a}{b}\right) = 1 - \frac{1}{b},
\]
since $a/b \in E_k$ for all $k \geq b$. Let $a/b$ and $c/d$ be any successive fractions in $E_n$ and consider the fraction $(a+c)/(b+d) \in E_{n+1}$. Since
\[
\Phi(x) = \phi_1(x) + \cdots + \phi_{n-1}(x)
\]
is a linear function on the interval $[a/b, c/d]$, we get
\[
\Phi\left(\frac{a+c}{b+d}\right) = 1 - \frac{1}{b} + \frac{1/b - 1/d}{c/d - a/b} \left(\frac{a+c}{b+d} - \frac{a}{b}\right) = 1 - \frac{2}{b+d}.
\]
Hence
\[
f\left(\frac{a+c}{b+d}\right) = \Phi\left(\frac{a+c}{b+d}\right) + \phi_n\left(\frac{a+c}{b+d}\right) = 1 - \frac{1}{b+d},
\]
by definition. Therefore, (3.1) holds for any rational point in the interval $[0, 1]$.

Let $m$ be any positive integer. Since the piecewise linear function $\Phi_m(x)$ takes the value less than 1 at any point belonging to $E_{m+1}$, as is already seen above, it follows clearly that $\Phi_m(x) < 1$ for all $x \in [0, 1]$. Thus the series
\[
\sum_{n=1}^\infty \phi_n(x)
\]
converges at every irrational point $x$. Let $a/b$ and $c/d$ be any adjacent fractions in $E_{m+1}$ satisfying $a/b < x < c/d$. We then have
\[
\Phi_m(x) \geq \min\left\{\Phi_m\left(\frac{a}{b}\right), \Phi_m\left(\frac{c}{d}\right)\right\}
= \min\left\{1 - \frac{1}{b}, 1 - \frac{1}{d}\right\}.
\]
Since $x$ is irrational, both $b$ and $d$ must diverge to $\infty$ as $m \to \infty$; so, $f(x) = 1$, as required."
3_3,Continuous Functions,"Let $f_n \in C[a, b]$ be a monotone increasing sequence
\[
f_1(x) \leq f_2(x) \leq \cdots,
\]
which converges pointwise to $f(x) \in C[a, b]$. Show that the convergence is uniform on $[a, b]$.","For any $\epsilon > 0$ define the set
\[
E_n = \{x \in [a, b] : |f(x) - f_n(x)| \geq \epsilon\}.
\]

Then $\{E_n\}$ is a sequence of monotone decreasing compact sets in view of the continuity of $f_n$ and $f$. Suppose now that $E_n$ is not empty for any positive integer $n$. It then follows that
\[
\bigcap_{n=1}^\infty E_n \neq \emptyset.
\]

Let $x_0$ be some point belonging to all the sets $E_n$. But this means that $\{f_n(x_0)\}$ does not converge to $f(x_0)$, contrary to the assumption. Thus $E_n$ is empty for all sufficiently large $n$; in other words, $|f(x) - f_n(x)| < \epsilon$ for any $x \in [a, b]$. "
4_8,Diﬀerentiation,"Suppose that $f \in C^1(0, \infty)$ is positive. Then show that for an arbitrary constant $a > 1$,
\[
\liminf_{x \to \infty} \frac{f'(x)}{(f(x))^a} \leq 0.
\]","Suppose, contrary to the assertion, that there are positive numbers $\delta$ and $x_0$ satisfying
\[
\delta < \frac{f'(x)}{(f(x))^a}
\]
for any $x > x_0$. Then integrating from $x_0$ to $x$ we have
\[
\delta(x - x_0) < \int_{x_0}^x \frac{f'(t)}{(f(t))^a} dt = \frac{1}{a-1} \left( \frac{1}{(f(x_0))^{a-1}} - \frac{1}{(f(x))^{a-1}} \right).
\]
Thus
\[
\frac{1}{(f(x_0))^{a-1}} > \frac{1}{(f(x))^{a-1}} + (a-1)\delta(x - x_0) > (a-1)\delta(x - x_0),
\]
where the right-hand side diverges to $\infty$ together with $x$, giving a contradiction."
4_2,Diﬀerentiation,"Show that any $f \in C^2(\mathbb{R})$ satisfies the inequality
\[
\left( \sup_{x \in \mathbb{R}} |f'(x)| \right)^2 \leq 2 \sup_{x \in \mathbb{R}} |f(x)| \cdot \sup_{x \in \mathbb{R}} |f''(x)|.
\]
Prove moreover that the constant $2$ on the right-hand side cannot in general be replaced by any smaller number.","Put
\[
\alpha = \sup_{x \in \mathbb{R}} |f(x)| \quad \text{and} \quad \beta = \sup_{x \in \mathbb{R}} |f''(x)|.
\]
We may of course assume that both $\alpha$ and $\beta$ are finite. If $\beta$ vanishes, then $\alpha$ is finite if and only if $f(x)$ vanishes everywhere; therefore we can also assume that $\beta$ is positive. For any $x$ and positive $y$ it follows from Taylor's formula that there is a $\xi_{x,y}$ satisfying
\[
f(x+y) = f(x) + f'(x)y + f''(\xi_{x,y}) \frac{y^2}{2}.
\]
Therefore we have
\[
f(x+y) - f(x-y) = 2f'(x)y + \left(f''(\xi_{x,y}) - f''(\xi_{x,-y})\right) \frac{y^2}{2},
\]
which implies that
\[
2|f'(x)|y = |f(x+y) - f(x-y) + \left(f''(\xi_{x,y}) - f''(\xi_{x,-y})\right) \frac{y^2}{2}|
\leq 2\alpha + \beta y^2.
\]
Thus we get
\[
\sup_{x \in \mathbb{R}} |f'(x)| \leq \frac{\alpha}{y} + \frac{\beta y}{2},
\]
where the right-hand side attains its minimum $\sqrt{2\alpha \beta}$ at $y = \sqrt{2\alpha / \beta}$.

To see that 2 is the best possible constant we first define an even step function
\[
\phi''(x) = 
\begin{cases} 
0 & \text{for } |x| > 2, \\
1 & \text{for } 1 \leq |x| \leq 2, \\
-1 & \text{for } |x| < 1.
\end{cases}
\]
Then
\[
\phi'(x) = \int_{-2}^x \phi''(t) \, dt
\]
is an odd piecewise linear continuous function and in turn
\[
\phi(x) = \int_{-2}^x \phi'(t) \, dt - \frac{1}{2}
\]
is an even $C^1$-function. The maxima of $|\phi(x)|$, $|\phi'(x)|$ and $|\phi''(x)|$ are clearly $1/2$, $1$, and $1$ respectively. The equality certainly holds in this example. However $\phi$ does not belong to $C^2(\mathbb{R})$. To tide over this difficulty it suffices to transform $\phi''$ slightly to a continuous one in the neighborhood of the discontinuity points of $\phi''$ so that its influence on $\phi$ and $\phi'$ becomes arbitrarily small."
4_6,Diﬀerentiation,"Show that the maximum of $\left| Q^{(n)}(x) \right|$ over $[-1, 1]$ is equal to $2^n n!$, where
\[
Q(x) = (1 - x^2)^n.
\]","By Cauchy's integral formula we get
\[
Q^{(n)}(x) = \frac{n!}{2\pi i} \int_C \frac{(1 - z^2)^n}{(z - x)^{n+1}} \, dz
\]
where \(C\) is an oriented circle centered at \(z = x\) with radius \(r > 0\). Hence putting
\[
z = x + re^{i\theta}
\]
for \(0 \leq \theta < 2\pi\) we obtain
\[
Q^{(n)}(x) = \frac{n!}{2\pi} \int_0^{2\pi} \frac{(1 - (x + re^{i\theta})^2)^n}{r^{n+1} e^{(n+1)i\theta}} re^{i\theta} \, d\theta
= \frac{n!}{2\pi} \int_0^{2\pi} \frac{(1 - (x + re^{i\theta})^2)^n}{re^{i\theta}} \, d\theta.
\]

The expression in the parentheses can be written as
\[
\left( \frac{1 - x^2}{r} - r \right) \cos\theta - 2x - i \left( \frac{1 - x^2}{r} + r \right) \sin\theta.
\]

We now take \(r = \sqrt{1 - x^2}\) for \(|x| < 1\) so that \(|P^{(n)}(x)| \leq 2^n n!\). This inequality clearly holds for \(x = 1\) and \(x = -1\)."
4_1,Diﬀerentiation,"Suppose that all roots of the algebraic equation 
\[
x^n + a_{n-1} x^{n-1} + \cdots + a_0 = 0
\]
have negative real parts and that $f \in C^n(0, \infty)$. Show that if
\[
f^{(n)}(x) + a_{n-1} f^{(n-1)}(x) + \cdots + a_0 f(x)
\]
converges to $0$ as $x \to \infty$, then $f^{(k)}(x)$ also converges to $0$ as $x \to \infty$ for any $0 \leq k \leq n$.","We first consider the case $n = 1$ and assume that $f(x) \in C^1(0, \infty)$ is a complex-valued function. Suppose that $f'(x) + z f(x)$ converges to $0$ as $x \to \infty$ where $z$ is a complex number with $\Re z > 0$. Differentiating $g(x) = e^{z x} f(x)$ we have 
\[
g'(x) = e^{z x} \big(f'(x) + z f(x)\big);
\]
therefore $g'(x) e^{-z x}$ converges to $0$ as $x \to \infty$. This means that for any $\epsilon > 0$ there exists an $x_\epsilon$ satisfying $|g'(x)| e^{-z x} < \epsilon$ for any $x$ greater than $x_\epsilon$. Hence 
\[
e^{z x} |f(x)| = |g(x)| \leq |g(x_\epsilon)| + \int_{x_\epsilon}^x |g'(t)| dt.
\]
Since the last expression is equal to 
\[
e^{z x_\epsilon} |f(x_\epsilon)| + \epsilon \int_{x_\epsilon}^x e^{z t} dt,
\]
we have 
\[
|f(x)| \leq e^{z(x_\epsilon - x)} |f(x_\epsilon)| + \frac{\epsilon}{\Re z} e^{z x}.
\]
Thus $|f(x)| < 2\epsilon / \Re z$ for all sufficiently large $x$.

We prove the $n+1$ case by assuming the $n$ case. Let $-\xi$ be a root of 
\[
x^{n+1} + a_n x^n + \cdots + a_0 = 0
\]
with $\Re \xi > 0$. Since this polynomial is written as 
\[
(x + \xi)\big(x^n + b_{n-1}x^{n-1} + \cdots + b_0\big),
\]
we get 
\[
f^{(n+1)}(x) + a_n f^{(n)}(x) + \cdots + a_0 f(x) = \phi'(x) + \xi \phi(x)
\]
where 
\[
\phi(x) = f^{(n)}(x) + b_{n-1}f^{(n-1)}(x) + \cdots + b_0 f(x).
\]
By the hypothesis $\phi(x)$ converges to $0$ and hence so does $f^{(k)}(x)$ as $x \to \infty$ for each integer $0 \leq k \leq n$. Clearly $f^{(n+1)}(x)$ converges to $0$ as well."
4_9,Diﬀerentiation,"Suppose that $f \in C^2(0, \infty)$ converges to $\alpha$ as $x \to \infty$ and that 
\[
f''(x) + \lambda f'(x)
\]
is bounded above for some constant $\lambda$. Then show that $f'(x)$ converges to $0$ as $x \to \infty$.","The proof is substantially due to Hardy and Littlewood (1914). We use Taylor’s formula with the integral remainder term
\[
f(x+y) = f(x) + yf'(x) + y^2 \int_0^1 (1-t)f''(x+yt) dt,
\]
valid for any \(x > 1\) and \(|y| < 1\). Now let us consider the integral on the right-hand side with \(f''\) replaced by \(f'\). By the mean value theorem there is a \(\xi_{x,y}\) between \(0\) and \(y\) satisfying
\[
y^2 \int_0^1 (1-t)f'(x+yt) dt = \int_x^{x+y} f(s) ds - yf(x) = y f(x+\xi_{x,y}) - y f(x).
\]
Since there exists a positive constant \(K\) satisfying \(f''(x) + \lambda f'(x) \leq K\), we have
\[
f(x+y) - f(x) - y f'(x) + \lambda y f(x+\xi_{x,y}) - \lambda y f(x) = y^2 \int_0^1 (1-t) (f''(x+yt) + \lambda f'(x+yt)) dt \leq Ky^2 \int_0^1 (1-t) dt = \frac{K}{2}y^2.
\]

For the case in which \(0 < y < 1\) we get
\[
f'(x) \geq \frac{f(x+y) - f(x)}{y} + \lambda f(x+\xi_{x,y}) - \lambda f(x) - \frac{K}{2}y.
\]
Making \(x \to \infty\) we thus have
\[
\liminf_{x \to \infty} f'(x) \geq -\frac{K}{2}y.
\]
Therefore \(\liminf_{x \to \infty} f'(x)\) must be \(\geq 0\) because \(y\) is arbitrary.

Similarly, for the case in which \(-1 < y < 0\),
\[
f'(x) \leq \frac{f(x) - f(x-|y|)}{|y|} + \lambda f(x+\xi_{x,y}) - \lambda f(x) + \frac{K}{2}|y|,
\]
which implies that
\[
\limsup_{x \to \infty} f'(x) \leq \frac{K}{2}|y|.
\]
So that \(\limsup_{x \to \infty} f'(x)\) is \(\leq 0\) because \(y\) is arbitrary. Therefore \(f'(x)\) converges to \(0\) as \(x \to \infty\)."
5_6,Integration,"Show that the minimum of the integral
\[
\int_0^1 \left| x^n + a_1 x^{n-1} + \cdots + a_n \right| dx
\]
as \( a_1, a_2, \ldots, a_n \) range over all real numbers, is equal to \( 4^{-n} \).","For a given polynomial
\[
A(x) = x^n + a_1 x^{n-1} + \cdots + a_n
\]
we define
\[
B(x) = A\left(\frac{x+2}{4}\right),
\]
so that
\[
B(x) = \frac{x^n}{4^n} + a_1' x^{n-1} + \cdots + a_n'
\]
with some real numbers $a_1', \ldots, a_n'$. Putting further
\[
Q(x) = \int_0^x B(s) \, ds
\]
we obtain
\[
Q(x) = \frac{x^{n+1}}{4^n (n+1)} + a_1'' x^n + \cdots + a_n'' x
\]
with some real numbers $a_1'', \ldots, a_n''$. Applying the same method as in the proof of \textbf{Problem 3.2} to $Q(x)$ with the same notations, we get
\[
\frac{4(n+1)}{4^n (n+1)} \sum_{k=0}^{n+1} (-1)^k Q(\alpha_k) \leq \sum_{k=0}^n |Q(\alpha_k) - Q(\alpha_{k+1})| \tag{5.6}
\]
where
\[
\alpha_k = 2 \cos \frac{k \pi}{n+1}.
\]
Therefore, by using (5.4) and (5.5) in (5.6),
\[
\frac{1}{4^{n-1}} \leq \sum_{k=0}^n \int_{\alpha_{k+1}}^{\alpha_k} |B(s)| \, ds = \int_{-2}^2 |B(s)| \, ds = 4 \int_0^1 |A(x)| \, dx.
\]"
5_1,Integration,"Suppose that \(f \in C[0,1]\) and \(g \in C(\mathbb{R})\) is a periodic function with period 1. Show then that
\[
\lim_{n \to \infty} \int_0^1 f(x) g(nx) \, dx = \int_0^1 f(x) \, dx \int_0^1 g(x) \, dx.
\]","Without loss of generality we can replace \( g(x) \) by \( g(x) + c \) for any constant \( c \); so we can assume that \( g(x) \) is positive. By the periodicity of \( g \)
\[
\int_0^1 f(x) g(nx) \, dx = \frac{1}{n} \int_0^n f\left(\frac{y}{n}\right) g(y) \, dy
= \frac{1}{n} \sum_{k=0}^{n-1} \int_k^{k+1} f\left(\frac{y}{n}\right) g(y) \, dy
= \frac{1}{n} \sum_{k=0}^{n-1} \int_0^1 f\left(\frac{k+s}{n}\right) g(s) \, ds.
\]

Applying the first mean value theorem to each integral on the right-hand side, the above expression can be written as the product of \( \int_0^1 g(s) \, ds \) times
\[
\frac{1}{n} \sum_{k=0}^{n-1} f\left(\frac{k+s_k}{n}\right)
\]
for some \( s_k \) in the interval \( (0, 1) \), which is the Riemann sum converging to \( \int_0^1 f(x) \, dx \) as \( n \to \infty \)."
5_8_c,Integration,"Put \( \phi(x) = 1 / \sqrt{1 + |x|} \) and \( \alpha_{j,n} = (j - 1/2)3^{-n} \) for \( 1 \leq j \leq 3^n, n \geq 0 \).
Using the function \( \Psi \), construct an example of everywhere differentiable but nowhere monotone functions.","Finally we construct an example of everywhere differentiable but nowhere monotone functions. Let
\[
f(x) = \Psi(x) - \Psi\left(x - \frac{1}{6}\right)
\]
for \( \frac{1}{6} < x < 1 \). Since \( \alpha_{j,n} - \frac{1}{6} = \beta_{k,n} \) for any \( k = j - \frac{3^{n-1} + 1}{2} \geq 0 \), we have
\[
f'(\alpha_{j,n}) = \Phi(\alpha_{j,n}) - \Phi(\beta_{k,n}) > 0.
\]
Similarly, since \( \beta_{k,n} - \frac{1}{6} = \alpha_{j,n} \) for any \( j = k - \frac{3^{n-1} - 1}{2} \geq 1 \), we get
\[
f'(\beta_{k,n}) = \Phi(\beta_{k,n}) - \Phi(\alpha_{j,n}) < 0.
\]
Thus, \( A \) and \( B \) being dense subsets of \( [0,1] \), \( f(x) \) is nowhere monotone.
"
5_9,Integration,"Prove that
\[
\sum_{n=1}^m \frac{\sin n\theta}{n} < \int_0^\pi \frac{\sin x}{x} \, dx = 1.8519\ldots
\]
for any positive integer \( m \) and any \( \theta \) in \( [0, \pi] \). Show moreover that the constant on the right-hand side cannot be replaced by any smaller number.","As is already seen in \textbf{Solution 1.7}, the maximal values in the interval \([0, \pi]\) of the function
\[
S_m(\theta) = \sin \theta + \frac{\sin 2\theta}{2} + \cdots + \frac{\sin m\theta}{m}
\]
are attained at \([(m+1)/2]\) points: \(\pi/(m+1), 3\pi/(m+1), \ldots\). Since
\[
S'_m(\theta) = \frac{1}{2} \sin 2(m+1)\theta \cot \theta - \cos^2(2(m+1)\theta),
\]
we get
\[
S_m(\beta) - S_m(\alpha) \leq \int_{\alpha/2}^{\beta/2} \sin 2(m+1)\theta \cot \theta \, d\theta
\]
for any \(0 < \alpha < \beta < \pi\). By the substitution \(s = 2(m+1)\theta - 2\ell\pi\) with
\[
\alpha = \frac{2\ell - 1}{m+1}\pi \quad \text{and} \quad \beta = \frac{2\ell + 1}{m+1}\pi,
\]
the above integral on the right-hand side can be written as
\[
\frac{1}{2(m+1)} \int_0^\pi \sin s \left( \cot \frac{2\ell\pi + s}{2(m+1)} - \cot \frac{2\ell\pi - s}{2(m+1)} \right) ds.
\]
Since the function \(\cot s\) is strictly monotone decreasing in the interval \((0, \pi/2)\), this integral is clearly negative. This implies that the maximum of \(S_m(\theta)\) on the interval \([0, \pi]\) is attained at \(\theta = \pi/(m+1)\). Moreover, we have
\[
S_{m+1}\left(\frac{\pi}{m+2}\right) > S_{m+1}\left(\frac{\pi}{m+1}\right) = S_m\left(\frac{\pi}{m+1}\right).
\]
Therefore \(\{S_m(\pi/(m+1))\}\) is a strictly monotone increasing sequence and
\[
S_m\left(\frac{\pi}{m+1}\right) = \frac{\pi}{m+1} \sum_{n=1}^{m+1} \frac{m+1}{n\pi} \sin \frac{n\pi}{m+1}
\]
converges to the integral
\[
\int_0^\pi \frac{\sin x}{x} dx \quad \text{as } m \to \infty.
\]"
